texto,sentimiento
"Más allá de la decisión puntual, el mensaje que envíe el Banco de la República será determinante, puesto que el aumento de tasas no solo busca responder a la evolución reciente de la inflación, sino también evitar un deterioro adicional de las expectativas en un entorno donde los riesgos siguen al alza.",neutral
"Además, los costes estimados de almacenamiento rondan los 4,6 céntimos de euro por kilovatio hora, con una inversión inicial cercana a los 158 euros por kilovatio hora de capacidad.",neutral
"Por lo tanto, los despidos efectuados el 18 de febrero son de valor nulo"", según dijo Pablo Bentivegne, representante legal en la causa, en recientes declaraciones periodísticas.",negativo
"El Dow Jones amplía las tímidas ganancias de ayer, mientras que S&P 500 y Nasdaq lanzan el rebote.",positivo
"Si la OTAN solo vale para defender a Europa cuando es atacada, pero nos niegan derechos sobre las bases cuando los necesitamos, pues no es un buen acuerdo.",neutral
"Para los tres, fue su mayor alza diaria desde mayo.",positivo
"En 2025 declar� 40.000 millones de ingresos y 20.058 millones de beneficio neto, lo que refuerza la idea de negocio muy resistente.",positivo
"Utor mostró su preocupación porque en los últimos meses Armas ha tenido que dejar de operar varias rutas por el deterioro de su flota, y que eso aumentará los costes para Baleŕria.",negativo
Los expertos señalan una fuerte caída en el mercado de deuda del Reino Unido como uno de los factores de ese repunte ante las perspectivas de que el Banco de Inglaterra suba los tipos de interés este año para contrarrestar el encarecimiento de la energía.,negativo
"Cuando Nuveen cierre esa transacción, solo le quedará activa la segunda fase de Los Berrocales, con otras 446 casas para el tercer trimestre de 2027.",negativo
"La cirugía robótica reduce el daño en los tejidos, disminuye el sangrado y acelera la recuperación del paciente.",neutral
"El plan ha sido acordado con los principales acreedores de Wallbox, que representan más del 83% de la deuda de la compańía, principalmente Banco Santander, BBVA y CaixaBank.",neutral
"El inversor suele apalancarse mucho para abarcar más capital en su operación, pero cuando el mercado gira en su contra ese apalancamiento puede destruir su cuenta si no sabe gestionarlo.",negativo
"No solo deja atrás la racha de máximos —13 en los dos primeros meses—, sino que rompe una serie de ocho meses consecutivos de avances y se deja un 7,14% en marzo, su mayor caída desde junio de 2022.",negativo
"Los analistas fundamentales mantienen la confianza en que se recupere de este fuerte tropiezo, con un precio objetivo medio de 61,68 euros que supone un potencial del 33,4% frente a la cotización actual, aunque sin alcanzar el máximo de hace menos de un mes.",positivo
"08174 Barcelona- Teléfono: 900902466- Web: www.aldi.es- Facturación 2023: 1.948 millones de euros- Nş de empleados: 7.700LUMBRERAS, ValentínCONSEJERO DELEGADOALIMERKA- Sede social: C. Log.",neutral
"En términos de contabilidad nacional, para los que se suman el SEPE y el Fondo de Garantía Salarial, el déficit de los Fondos de la Seguridad Social fue de 5.580 millones de euros, un 0,3% del PIB, mínimo desde 2011.",negativo
"28050 Madrid- Teléfono: 913534400- Web: www.realia.es- Facturación 2023: 152 millones de euros- Facturación 2024: 133 millones de euros- Nş de empleados: 75RODRÍGUEZ TORRES, JuanPRESIDENTE NO EJECUTIVOREDEVCO- Sede social: Pl.",neutral
"Incluso después de que el S&P 500 cayera un 3,4% en los dos días previos al viernes, “la demanda de volatilidad provino más del alza que de la baja, ya que los inversores se posicionaron para un posible repunte”, escribió Mandy Xu, jefa de inteligencia de mercado de derivados de Cboe, en una nota el lunes.",neutral
"“Los mercados han sufrido un duro golpe durante más de un mes y las expectativas podrían haber tocado fondo, por lo que cualquier atisbo de esperanza resulta ahora mucho más valioso”.",neutral
La corrección ha devuelto al banco un importante potencial alcista.,positivo
"Wall Street y AsiaLos futuros de Wall Street apuntan asimismo a una apertura al alza después de que ayer los grandes índices registrasen su mejor día desde mayo del año pasado: El DOW JONES sumó un 2,49% hasta los 46.341,51 puntos, mientras que el S&P 500 ganó un 2,91% y el Nasdaq Composite subió un 3,83%.",positivo
"As set out in the Company's dividend policy, this quarterly dividend has beencalculated based on 1.25% of the Company's NAV at close of business on 31 March2026 (being the last business day of the calendar quarter) which was 635.19cents per ordinary share.",neutral
"En esta región, los departamentos experimentaron un alza del 6,4% interanual en sus valores en dólares.",positivo
"Iberdrola confía a Siemens planes millonarios en Reino Unido, según informaciones adelantadas por Cinco Días y Expansión.",positivo
"En paralelo, el número de partícipes asciende a 40.950 inversores, tras incorporar 9.800 nuevos clientes en el mismo periodo, lo que representa un crecimiento del 30%.",positivo
Los sectores con mejores y peores pronósticos a un mes vistaLa combinación de análisis basados tanto en la serie histórica como en el 'momentum' actual puede dar pistas sobre los sectores con mejores y peores perspectivas a corto plazo.,neutral
"Las cifras desestacionalizadas mostraron una contracción de 2,3% respecto del mes anterior, explicada por el comercio mayorista.",negativo
"La bolsa está haciendo el resto: menos miedo a inflación, más miedo a crecimiento.",negativo
"las acciones de MERLIN Properties suben un ligero 0,14% a media mañana en el IBEX 35, hasta marcar una cotización de 13,95 euros.",positivo
"Un entramado societario interconectadoEn el procedimiento concursal, Larisa ha declarado una deuda de 21,2 millones de euros, reconocida como crédito ordinario.",neutral
"Ocho comunidades con superávitOcho comunidades autónomas cerraron 2025 con superávit, encabezadas por Navarra (2,04 % de su PIB) y Asturias (0,51 %); mientras que los déficits más abultados se concentraron en Murcia (1,56 %) y Comunidad Valenciana (1,54 %).",positivo
"En caso de no cobrar el servicio de forma independiente, lo más habitual es ofrecer la clase dirigida al inversor particular que lleve incluida la comisión para el distribuidor.",neutral
"La comisión de gestión de un fondo indexado se suele situar en el entorno del 0,3%, frente al 1% o 1,75% de los fondos activos.",neutral
"28040 Madrid- Teléfono: 914445161- Web: www.cunef.edu- Propietarios y máximos accionistas: Fundación AEB- Facturación 2024: 45,5 millones de euros- Nş de profesores: 295 (septiembre de 2025)- Nş de empleados: 119 (septiembre de 2025)- Nş de alumnos: 4.900 (septiembre de 2025)RODRÍGUEZ-PINA, AntonioPRESIDENTE CONSEJO DE ADMINISTRACIÓNRODRÍGUEZ-PINA, AntonioPRESIDENTE CONSEJO DE ADMINISTRACIÓNFERNÁNDEZ, Ana I.RECTORADEUSTO BUSINESS SCHOOL- Sede social: C/ Hermanos Aguirre, 2.",neutral
"En consecuencia, “el actual choque energético probablemente ampliará la diferenciación macroeconómica y de precios de activos en la región, en lugar de generar un auge generalizado de materias primas”.",neutral
"Su anterior cautela respecto al periodo a partir del segundo trimestre, debido a un posible exceso de oferta de gas natural licuado (GNL), se ha visto atenuada por la guerra Irán-Irak, que está provocando un aumento estructural de los precios del gas y la electricidad.",positivo
"Según su avance de resultados, Making Science disparó sus ingresos un 36% hasta situarse en 374 millones de euros y el EBITDA se elevó hasta los 14 millones.",positivo
"Los Ángeles (EE.UU.) (EFE).- La estrella estadounidense Taylor Swift se enfrenta a una demanda por presunta infracción de marca registrada en el título de su álbum más reciente, ‘The Life of a Showgirl’.",neutral
"Aunque el oil ha sido volátil, sigue manteniéndose por encima de los 100 dólares, lo que sugiere que son las dinámicas de oferta y demanda —y no los titulares— las que impulsan la evolución de los precios.",neutral
"Las acciones del banco italiano se desploman hasta un 61%, su mayor caída registrada, después de que la entidad financiera haya admitido que una revisión ha identificado más problemas en su gestión de préstamos.",negativo
"El análisis comparativo de los flujos en los fondos cotizados (ETF) de oro y de bitcoin deparan un resultado revelador entre el 28 de febrero, la fecha de los primeros ataques de Estados Unidos e Israel sobre Irán, hasta el pasado lunes 23 de marzo.",neutral
"Kering: así es la batalla de lujo en los mercados bursátilesDurante el primer trimestre, la participación de la familia Arnault en LVMH superó el umbral simbólico del 50%.",positivo
"El documento señala que “los riesgos al alza para la inflación y a la baja para el empleo en EE.UU. implican que la Reserva Federal deberá actuar con cautela”, lo que reduce la probabilidad de movimientos agresivos en tasas en el corto plazo y mantiene la incertidumbre sobre el rumbo del dólar global.",neutral
"Por su parte, el resultado bruto de explotación (Ebitda) se desplomó a una cifra negativa de 1,19 millones de euros frente a los 619.000 euros registrados en 2024.",negativo
"A partir de esta señal, el analista reacciona operativamente, anticipando una subida hacia la zona de resistencia (6.470) e incluso la aparición de una noticia favorable.",positivo
iBrokeriBroker accede a más de 80 valores del mercado español y a los principales valores europeosActivos negociables: iBroker ofrece una amplia gama de ETFs tanto de acciones españolas y europeas como de acciones estadounidenses.,neutral
"La farma tradicional ofrece estabilidad, escala y generación de caja; la biotecnología aporta innovación, pero con una volatilidad estructural muy elevada; el equipamiento médico y los dispositivos siguen dinámicas más industriales; las herramientas de diagnóstico e investigación actúan como proveedores transversales; y los servicios sanitarios o aseguradoras dependen en gran medida de regulación, demografía y volumen.",neutral
También incluyen el desplome desde la crisis financiera de la proporción de subastas del Tesoro adjudicadas a los llamados operadores primarios.,negativo
"Es poco realista imaginar que Disney alcance un margen similar al de Netflix, pero suponiendo que los ingresos aumenten a una tasa anual compuesta del 10% entre los ejercicios fiscales de 2025 y 2030, y que el beneficio operativo alcance los 6.300 millones de dólares, se trata de un aumento monumental del 388% en cinco años.",positivo
"Y las prestaciones sociales son hoy un 17% del PIB, mientras que en 2007 apenas alcanzaban el 11,4% del PIB.",neutral
"Este logro marca un importante avance en el camino hacia la salida a Bolsa de la compañía, que está bajo la dirección de Sam Altman.",positivo
"En total, su superávit bajó del 0,45% del PIB en 2024, hasta el 0,31% en 2025.",negativo
"el precio del gas natural desciende respecto a los primeros compases de sesión, cuando con una caída del 1 % se encontraba en 54,68 euros el megavatio/hora, el mismo precio de cierre de ayer en su cotización en el mercado holandés, en 54,68 euros, más de dos euros menos de los 56,77 en los que se encontraba el pasado viernes.",negativo
"En plena tormenta bélica, los inversores se han lanzado a por compańías de perfil defensivo como Endesa, que se anota un 4,37%, hasta los 36,08 euros, máximos históricos (ajustado por dividendo).",positivo
"El dólary los intereses de la deuda vuelven a salir reforzados, y con el petróleo al alza, el mercado apuntala las expectativas de próximas subidas de los tipos de interés.",negativo
"Sin embargo, la verticalidad del 17% de subida del viernes ha situado la cotización de la empresa del Ibex por encima de la nueva valoración otorgada por Deutsche Bank.",neutral
"Bloomberg — El repunte bursátil mundial está enmascarando una preocupación más profunda sobre las perspectivas económicas globales, lo que podría poner fin a la recuperación.",negativo
"28073 Madrid- Teléfono: 916597200- Web: www.arval.es- Facturación 2020: 700 millones de eurosSORIAU, LucDIRECTOR GENERALBBVA AUTORENTING- Sede social: C/ Azul, 4.",neutral
"OpenAI ha intensificado su estrategia de captación de ingresos este año mediante la introducción de publicidad en ChatGPT, una opción que el CEO, Sam Altman, había descrito en su momento como un “último recurso”.",positivo
"El equipo de Ysios aporta además una amplia experiencia en innovación, emprendimiento y desarrollo de compañías en ciencias de la vida, habiendo participado en la creación, gestión y crecimiento de múltiples empresas biotecnológicas a lo largo de los últimos 20 años.",neutral
"Consultoría organizativa, políticas de compensación y desarrollo del talento- Sede social: Pş Castellana 140, 14Ş. 28046 Madrid- Teléfono: 912975421- Web: www.recarte-fontenla.com- Propietarios y máximos accionistas: Andrés Fontenla y Carlos Recarte- Facturación 2024: 2 millones de euros- Nş de empleados: 8FONTENLA, Andrés; RECARTE, Carlos y NICOLÁS, GermánSOCIOS DIRECTORESSEELIGER Y CONDE - KINGSLEY GATE- Actividad: Selección de ejecutivos- Sede social: C/ Provença, 267-269.",neutral
También incluye a Nvidia como un actor que podría verse beneficiado por la expansión de la IA en los próximos años.,positivo
"En lo local, desde marzo, FinAsset administra el primer fondo de Renta 4, corredora que gestiona las inversiones del vehículo.",neutral
"En este sentido, el precio se encuentra estableciendo la formación de un rango lateral comprendido entre los 18,66 y los 20,38€ por acción coincidiendo la base del rango lateral con el nivel 50% de Fibonacci del impulso alcista producido desde los mínimos del pasado jueves día 11 de diciembre.",neutral
"Todo esto ha generado volatilidad, con numerosas fluctuaciones en el índice en las últimas semanas.",neutral
"En pocas palabras, se trata de lo bueno y lo malo de la acción en el momento.",neutral
"Tras crear el plan, el inversor puede elegir la manera de iniciar, si traspasando posiciones existentes o buscando nuevos instrumentos disponibles.",neutral
"En términos de actividad, el crecimiento del negocio ha sido generalizado en todas las geografías, con avances del 8,9% en España, del 7,1% en Portugal y del 6% en Latam, donde destaca especialmente el fuerte dinamismo de México, con un crecimiento del 77,2%.",positivo
El mes de marzo ha disparado la volatilidad de los mercados financieros.,negativo
Ha pasado de los 72 dólares a los que se pagaba el barril brent el 27 de febrero —el viernes previo a que comenzara la guerra— a rozar los 120 dólares en el contrato con entrega en mayo.,negativo
El encuentro es coordinado por la Subsecretaría de Previsión Social y es el primero que liderará la subsecretaria Elisa Cabezón.,neutral
El éxito de sus planes de simplificación y la reactivación de las adquisiciones estratégicas posicionan al grupo para una expansión sostenida de sus márgenes y una sólida retribución al accionista.,positivo
Puja muy reńida y crecimiento exteriorLa puja ha sido extremadamente reñida.,positivo
La entidad se ha gastado mucho dinero en los últimos ańos para competir con los grandes en el mayor mercado del mundo y en el primer trimestre ha logrado su mejor posición histórica en los ránkings.,positivo
"Sintra cuenta con más de 3 millones de turistas al año, que mayoritariamente lo visitan de día, pero la demanda de pernoctaciones está creciendo a doble dígito anual según fuentes oficiales.",positivo
"En su opinión, la caída de las acciones tecnológicas podría ir seguida de una recuperación aún más rápida.",positivo
"20:34Making Science abonará un dividendo de 2 millones el 30 de abrilMaking Science, consultora de tecnología y 'marketing' digital especializada en 'e-commerce' y aceleración digital, repartirá un dividendo con cargo al resultado del ejercicio 2025 por un importe total de 2 millones de euros, que se abonará el próximo 30 de abril.",positivo
"""Los límites de deuda, el punto de inflexión, son probablemente más bajos para los países en desarrollo"".",neutral
"La confianza del sector agropecuario en la Argentina alcanzó en marzo de 2026 su punto más elevado de los últimos nueve años, de acuerdo con el Índice de Confianza del Empresario Agropecuario (ICEA), elaborado a partir de la Encuesta CREA.",positivo
Las caídas anteriores han promovido un rebote técnico.,neutral
"Por otro lado, los márgenes de beneficio incluso se redujeron en algunos países más pequeños con menor poder adquisitivo, especialmente en países de Europa central y oriental, como Eslovaquia y Eslovenia"", indicó la ONG.",negativo
"Los analistas encuestados por Bloomberg esperan que el Departamento de Agricultura de EE.UU. muestre un aumento de las plantaciones de soja, mientras que es probable que las siembras de maíz caigan en la misma proporción en el informe anual de siembra prospectiva previsto para el martes.",neutral
"Los cinco principales institutos económicos para Alemania han revisado a la baja sus previsiones para 2026 y prevén un crecimiento de la economía alemana del 0,6 % y un aumento de la inflación al 2,8 % debido la guerra de EE.UU. e Israel contra Irán y la crisis de los precios de la energía causada por el bloqueo casi completo del estrecho de Ormuz, por donde pasaba el 20 % del petróleo mundial.",negativo
"Cartera Tendencial Estrategias de InversiónEl inicio de la estrategia evoluciona favorablemente, cumpliendo en poco tiempo con el objetivo mínimo de ascenso teórico derivado del patrón de acumulación tipo Hombro-Cabeza-Hombro invertido (HCHi), generando a la vez una estructura de máximos y mínimos crecientes que aprovechamos para actualizar, por primera vez en la vida de la estrategia, el stop al alza.",positivo
"Si bien esto aún no indica una recuperación significativa, puede sugerir que el panorama de consumo y del mercado laboral ya no se deteriora al mismo ritmo”, dijo a Bloomberg, Bret Kenwell de eToro.",neutral
"La unidad ajustó su estructura, manteniendo un margen EBITDA superior al 15% pese al impacto del sector auto.",positivo
"Coincidiendo con estas fechas, la enseña pone en valor su origen y su capacidad ""para trasladar el espíritu social, festivo y accesible de la Feria de Abril a sus restaurantes, convertidos en puntos de encuentro donde compartir gastronomía y experiencia"".",neutral
"21350 Huelva- Teléfono: 959054012- Web: www.sandfirematsa.es- Facturación 2024: 531,5 millones de euros- Nş de empleados: 778SCARGILL, RobertPRESIDENTEMINERSA- Sede social: Avd.",neutral
Un fondo en particular destac�: el First Trust Nasdaq Clean Edge Smart Grid Infrastructure Index (GRID).,neutral
"""El acuerdo refleja el continuo impulso comercial de Intel, respaldado por el papel cada vez más importante que desempeñan las CPU (unidades de procesamiento gráfico) en la era de la inteligencia artificial"", apuntó Intel.",positivo
"Su hipótesis de base es un escenario en el que la tasa de desempleo se mantiene estable alrededor de los niveles actuales, la economía crece cerca de su potencial y la inflación subyacente comienza a disminuir gradualmente hacia el 2% a finales de este año.",neutral
"28045 Madrid- Teléfono: 913470100- Web: www.motorpress-iberica.es- Facturación 2023: 10,8 millones de euros- Nş de empleados: 57WANDOSELL, MaríaCONSEJERA DELEGADAPEARSON EDUCACIÓN- Sede social: Pş Castellana, 85.",neutral
"En primer lugar, el precio del crudo: cuanto más se aproxime a la franja de 80-90 dólares, más probable será una recuperación, previsiblemente sostenida.",neutral
"En el Reino Unido, un informe gubernamental reciente concluyó que el colapso de ecosistemas globales clave podría afectar la capacidad del país para alimentar a su población.",negativo
"Para los inversores en bonos, eso se traduce en unos ingresos reales más fiables, en lugar de una simple compensación por el riesgo de inflación.",positivo
"Por ejemplo, sería imposible pedirle al EdR que obtenga la rentabilidad de un fondo tecnológico puro.",neutral
"Este lunes, en sus perspectivas para el segundo trimestre, la mayor gestora reiteró su mensaje: “Parte de la reacción del mercado está relacionada con el sentimiento”.",neutral
"En sus actuales previsiones, los economistas parten de la base que el paso por el estrecho de Ormuz, por el que pasaba el 20 % del petróleo mundial, volverá a ser posible en el segundo trimestre y que los precios de la energía bajarán a partir del verano, aunque sin llegar a los niveles previos a la guerra.",neutral
"Las compañías indicaron que “han suscrito una carta de intención no vinculante” para avanzar en la transacción, que permitiría ejecutar la salida a bolsa mediante un reverse takeover, en línea con la estrategia de acceso a mercados de capital para financiar sus proyectos.",neutral
"Fundrise y Robinhood están abriendo clases de activos que antes estaban fuera del alcance de los inversores no adinerados; Fundrise también evitó a los suscriptores de OPV, vendiendo acciones directamente a sus clientes.",positivo
El cuadro recoge las �ltimas actualizaciones de recomendaci�n y/o precio objetivo realizadas por br�kers y bancos de inversi�n sobre empresas cotizadas en la bolsa espa�ola.,neutral
"Los llamados Big Four (Lloyds, HSBC, Barclays y NatWest) se encuentran en la situación opuesta, ya que la mayor parte de sus ingresos procede de depósitos y préstamos.",neutral
"28046 Madrid- Teléfono: 915594375- Web: www.esri.es/es-es/home- Facturación 2024: 40 millones de eurosVILLAESCUSA, ÁngelesCONSEJERA DELEGADAFORTINET ESPAŃA- Sede social: Av. de Europa, 19, Planta 2, 28108 Alcobendas, Madrid- Teléfono: 911332100- Web: www.fortinet.com- Facturación 2024: 6.530 millones de dólares (global)- Nş de empleados: 14.556 (global, a 30 de abril de 2025)MARTÍN, AcacioVICEPRESIDENTE IBERIAFUJITSU- Sede social: Camino Cerro de Los Gamos, 1.",neutral
"BolságoraPorInquietante recaída la de CellnexEl movimiento de recuperación sobre la zona señalada como clave refleja muy a las claras la importancia operativa del nivel de la zona 24,5/25 eurosSituación de trading:La violenta recaída hacia la zona de stop de la compañía me inquieta.",negativo
Baleŕrica calienta motores para poner en marcha el negocio que va a asumir con la adquisición de los activos de Armas Trasmediterránea.,positivo
"El plan de ayudas adicionales de Iberdrola contempla 400 euros de descuento directo, 1.000 euros de bonificación a través del programa Mi Iberdrola, canjeables en el contrato de la luz, y hasta 3.600 euros de descuento también directo en concepto de Certificados de Ahorro Energético (CAE), en función de la zona climática donde se ubique la vivienda.",positivo
"A partir de estos niveles, picos m�s altos en diferenciales de cr�dito suelen suponer capturar un carry m�s elevado en el largo plazo, por lo que nuevos incrementos en los diferenciales de cr�dito nos podr�an hacer inclinarnos un poco m�s hacia corporativos o high yield, pero es cierto que todav�a queda margen de subida de diferenciales si la situaci�n no mejora en el corto plazo.",neutral
"- Inversiones en el radar de los analistas para comprar con las caídas- Valores para ganar con las próximas subidas de tiposEl análisis detallado de los últimos precedentes de shocks de oferta arrojan pistas esclarecedoras sobre la cadena de transmisión entre petróleo, inflación, crecimiento y mercados.",neutral
"Por actividadDe acuerdo a lo informado por el Banco Central, la producción de bienes cayó 3,7% en términos anuales, resultado que fue incidido por el resto de bienes y la industria.",negativo
"La guerra en Oriente Próximo ha sido un torpedo en la línea de flotación de las perspectivas de inflación, de crecimiento, y también de la renta variable y de la deuda.",negativo
"Este nuevo servicio se suma al que ya se presta en La Palma, Gran Canaria y El Hierro, donde atiende a más de 1.800 usuarios a través de convenios con los cabildos insulares, que también han visto incrementado el precio por hora hasta niveles similares al nuevo contrato, según ha referido.",neutral
"La medida supuso un radical cambio de postura del Gobierno de Donald Trump, que había presionado a la India con aranceles de hasta el 50 % por sus compras de crudo a Moscú tras la invasión de Ucrania.",neutral
"El líder de la gestión indexada, que administra 12 billones de dólares a nivel internacional, ha logrado superar los 18.000 millones de euros en activos bajo gestión en el mercado espańol, apenas unos meses después de aterrizar.",positivo
"Wilson seńala que, si bien la volatilidad a corto plazo persistirá debido a la situación geopolítica, el mercado se ha adelantado ""a los riesgos que ahora son evidentes"", lo que sugiere que la corrección está llegando a su fin.",neutral
"Tubos Reunidos se hunde hasta un 8% en bolsa tras pérdidas de 118 M en pleno ERELa compañía achaca estas pérdidas a ""las políticas arancelarias restrictivas"", especialmente debido al incremento aplicado a la importación de acero por parte de EEUUTubos Reunidos se hunde en bolsa tras sus resultados y las novedades del Expediente de Regulación de Empleo (ERE).",negativo
"Luton Bedfordshire, Reino Unido- Teléfono: 902599900- Web: www.easyjet.com/es- Facturación 2024: 9,309 millones de libras (10.785 millones de euros), ańo fiscal a 30-9-24- Nş de empleados: 13.951 (media)JARVIS, KentonCONSEJERO DELEGADOGRUPO GESTAIR- Sede social: Centro de Negocios Albatros.",neutral
"El exfutbolista David Villa, máximo goleador de la selección espańola de fútbol, se ha incorporado al consejo de administración del Atlético de Madrid en el marco de la reestructuración del máximo órgano de gobierno del club rojiblanco tras su adquisición por parte de la gestora estadounidense de capital riesgo Apollo, que está previsto que se concrete hoy mismo, según coinciden varias fuentes del mercado consultadas por EXPANSIÓN.",neutral
"Burgos (EFE).- El procurador autonómico por Burgos de Vox, y quien fuera viceportavoz del grupo parlamentario en la última legislatura, Iñaki Sicilia, considera que se irá «más allá del 14 de abril» la posibilidad de alcanzar un acuerdo entre PP y Vox en Castilla y León, pues requiere de mucho esfuerzo, e insiste en que al partido no le interesan los sillones sino alcanzar un acuerdo programático.",neutral
"Las negociaciones a nivel local ubicaron al índice estelar de la Bolsa Institucional de Valores (BIVA), FTSE-BIVA, con una pérdida de 0.59 por ciento, al ubicarse en los mil 328.73 puntos.",negativo
"El punto de partida es que las restricciones de la oferta representan sin duda una enorme prueba de estrés para los bancos centrales debido al mayor riesgo de inflación y estancamiento económico, o la nefasta combinación de ambos conocida como estanflación.",negativo
"Además, conflictos internacionales o decisiones políticas pueden generar volatilidad en los mercados y afectar la cotización del oro.",neutral
"Tal es la importancia del dividendo a la hora de invertir en bolsa que la revalorización media del Ibex 35 con Dividendos presenta un rendimiento anual acumulado del 7,95% en sus 30 años de historia, cuatro puntos superior a la recogida solo por los precios en el IBEX 35.",positivo
"Logroño (EFE).- El Gobierno de La Rioja ha aprobado destinar 6 millones de euros a una ayuda mensual para el alquiler de viviendas parea menores de 36 años, el denominado Bono de Alquiler Joven.",neutral
"El gobernador Tiff Macklem dijo que el consejo no tendría en cuenta el impacto inmediato de la guerra de Irán sobre la inflación, pero que respondería si la inflación se volviera persistente.",neutral
